tree,depth,RMSE
20,52,0.008926
21,52,0.009231
22,52,0.00998
23,52,0.009173
24,52,0.009632
25,52,0.009655
26,52,0.008921
27,52,0.009338
28,52,0.009539
29,52,0.009254
30,52,0.009272
31,52,0.009536
32,52,0.009228
33,52,0.009356
34,52,0.009555
35,52,0.009257
36,52,0.009423
37,52,0.009121
38,52,0.009154
39,52,0.009282
40,52,0.009093
20,53,0.009561
21,53,0.009585
22,53,0.009425
23,53,0.009373
24,53,0.009401
25,53,0.00901
26,53,0.009397
27,53,0.009366
28,53,0.009398
29,53,0.009181
30,53,0.009049
31,53,0.009524
32,53,0.009603
33,53,0.009264
34,53,0.009262
35,53,0.008966
36,53,0.009145
37,53,0.009186
38,53,0.00906
39,53,0.009663
40,53,0.009055
20,54,0.009382
21,54,0.009329
22,54,0.009714
23,54,0.009354
24,54,0.009505
25,54,0.009085
26,54,0.009206
27,54,0.008954
28,54,0.009549
29,54,0.00955
30,54,0.008982
31,54,0.009403
32,54,0.009493
33,54,0.009521
34,54,0.009456
35,54,0.009259
36,54,0.009454
37,54,0.009498
38,54,0.009445
39,54,0.00903
40,54,0.00932
20,55,0.00947
21,55,0.009219
22,55,0.009389
23,55,0.009398
24,55,0.009176
25,55,0.009367
26,55,0.008917
27,55,0.009308
28,55,0.008735
29,55,0.009377
30,55,0.009434
31,55,0.009175
32,55,0.009107
33,55,0.009368
34,55,0.009227
35,55,0.009262
36,55,0.009242
37,55,0.009243
38,55,0.009156
39,55,0.009157
40,55,0.009174
20,56,0.009744
21,56,0.009146
22,56,0.008972
23,56,0.00937
24,56,0.009383
25,56,0.009393
26,56,0.009549
27,56,0.008978
28,56,0.009341
29,56,0.009507
30,56,0.00915
31,56,0.008893
32,56,0.0092
33,56,0.009062
34,56,0.00941
35,56,0.009086
36,56,0.009625
37,56,0.009244
38,56,0.009375
39,56,0.008938
40,56,0.009189
20,57,0.00953
21,57,0.009251
22,57,0.008982
23,57,0.009266
24,57,0.009321
25,57,0.00914
26,57,0.00953
27,57,0.009542
28,57,0.009677
29,57,0.009392
30,57,0.009095
31,57,0.00956
32,57,0.009518
33,57,0.009371
34,57,0.009262
35,57,0.009526
36,57,0.009306
37,57,0.009485
38,57,0.009516
39,57,0.00924
40,57,0.009226
20,58,0.009453
21,58,0.009298
22,58,0.009034
23,58,0.009379
24,58,0.009509
25,58,0.009373
26,58,0.009488
27,58,0.009502
28,58,0.009273
29,58,0.00907
30,58,0.009462
31,58,0.008982
32,58,0.008965
33,58,0.009296
34,58,0.009134
35,58,0.009404
36,58,0.009033
37,58,0.009338
38,58,0.009381
39,58,0.009109
40,58,0.009211
20,59,0.009313
21,59,0.009338
22,59,0.009265
23,59,0.008942
24,59,0.009208
25,59,0.009589
26,59,0.009229
27,59,0.009227
28,59,0.009121
29,59,0.009014
30,59,0.009101
31,59,0.008794
32,59,0.009154
33,59,0.009137
34,59,0.009348
35,59,0.00894
36,59,0.009333
37,59,0.009336
38,59,0.009524
39,59,0.009346
40,59,0.009211
20,60,0.009516
21,60,0.009236
22,60,0.009444
23,60,0.009714
24,60,0.009312
25,60,0.009164
26,60,0.009388
27,60,0.009385
28,60,0.009495
29,60,0.009409
30,60,0.009316
31,60,0.009319
32,60,0.008851
33,60,0.00937
34,60,0.009579
35,60,0.009502
36,60,0.008898
37,60,0.009197
38,60,0.009474
39,60,0.009471
40,60,0.008947
20,61,0.009536
21,61,0.009475
22,61,0.009402
23,61,0.009561
24,61,0.009202
25,61,0.009484
26,61,0.009034
27,61,0.009436
28,61,0.009611
29,61,0.009184
30,61,0.009295
31,61,0.00908
32,61,0.009258
33,61,0.009271
34,61,0.009481
35,61,0.009102
36,61,0.00931
37,61,0.009209
38,61,0.009395
39,61,0.009094
40,61,0.008987
20,62,0.00933
21,62,0.009101
22,62,0.009496
23,62,0.009364
24,62,0.009042
25,62,0.009173
26,62,0.009607
27,62,0.009224
28,62,0.009294
29,62,0.009264
30,62,0.009209
31,62,0.008918
32,62,0.009367
33,62,0.009124
34,62,0.009381
35,62,0.009036
36,62,0.009245
37,62,0.009246
38,62,0.009521
39,62,0.009305
40,62,0.009202
20,63,0.009499
21,63,0.008923
22,63,0.009608
23,63,0.009587
24,63,0.009135
25,63,0.009387
26,63,0.009423
27,63,0.009284
28,63,0.009413
29,63,0.009358
30,63,0.009253
31,63,0.009071
32,63,0.00941
33,63,0.009157
